fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,cancellation_reason,orders
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B0_minpickup_uniform,GlobalMatch-MinPickup,P0_uniform,moderate,0.5,moderate_av,,1315
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B0_minpickup_uniform,GlobalMatch-MinPickup,P0_uniform,moderate,0.5,moderate_av,cancelled_no_available_vehicle,3
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B0_minpickup_uniform,GlobalMatch-MinPickup,P0_uniform,moderate,0.5,moderate_av,cancelled_no_spatial_candidate,15
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B0_minpickup_uniform,GlobalMatch-MinPickup,P0_uniform,moderate,0.5,moderate_av,cancelled_passenger_rejection,167
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B1_mincost_uniform,GlobalMatch-MinOperatingCost,P0_uniform,moderate,0.5,moderate_av,,1314
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B1_mincost_uniform,GlobalMatch-MinOperatingCost,P0_uniform,moderate,0.5,moderate_av,cancelled_no_available_vehicle,3
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B1_mincost_uniform,GlobalMatch-MinOperatingCost,P0_uniform,moderate,0.5,moderate_av,cancelled_no_spatial_candidate,15
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B1_mincost_uniform,GlobalMatch-MinOperatingCost,P0_uniform,moderate,0.5,moderate_av,cancelled_passenger_rejection,168
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B2_oddgate_uniform,ODD Gate Only,P0_uniform,moderate,0.5,moderate_av,,1314
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B2_oddgate_uniform,ODD Gate Only,P0_uniform,moderate,0.5,moderate_av,cancelled_no_available_vehicle,3
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B2_oddgate_uniform,ODD Gate Only,P0_uniform,moderate,0.5,moderate_av,cancelled_no_spatial_candidate,15
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B2_oddgate_uniform,ODD Gate Only,P0_uniform,moderate,0.5,moderate_av,cancelled_passenger_rejection,168
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B3_odd_price_shared,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,,1313
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B3_odd_price_shared,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,cancelled_no_available_vehicle,3
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B3_odd_price_shared,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,cancelled_no_spatial_candidate,15
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B3_odd_price_shared,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,cancelled_passenger_rejection,169
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B4_odd_price_avdiscount,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,,1319
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B4_odd_price_avdiscount,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,cancelled_no_available_vehicle,3
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B4_odd_price_avdiscount,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,cancelled_no_spatial_candidate,15
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B4_odd_price_avdiscount,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,cancelled_passenger_rejection,163
