epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0830,D2,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D2,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,10,0,0,0,0,549
0830,D2,TOPK,ORIGINAL_REVERSE,37,0,0,0,0,652
0830,D2,TOPK,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D2,TOPK,FALLBACK_EVIDENCE,10,0,0,0,0,179
0830,D2,VALID_ETA,ORIGINAL_REVERSE,37,0,0,0,0,652
0830,D2,VALID_ETA,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D2,VALID_ETA,FALLBACK_EVIDENCE,10,0,0,0,0,179
0830,D2,PATIENCE,ORIGINAL_REVERSE,37,0,0,0,0,2
0830,D2,PATIENCE,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D2,PATIENCE,FALLBACK_EVIDENCE,10,0,0,0,0,1
0830,D2,SESSION,ORIGINAL_REVERSE,37,0,0,0,0,1
0830,D2,SESSION,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D2,SESSION,FALLBACK_EVIDENCE,10,0,0,0,0,0
0830,D3,SPATIAL,ORIGINAL_REVERSE,37,4772,37,37,37,1865
0830,D3,SPATIAL,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D3,SPATIAL,FALLBACK_EVIDENCE,10,1436,10,10,10,549
0830,D3,PASSENGER,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D3,PASSENGER,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D3,PASSENGER,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D3,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D3,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
